Symbol,Description,GICS Sector,Market cap
MSFT,Microsoft Corp,Information Technology,"$2,501,133,525,310"
AAPL,Apple Inc,Information Technology,"$2,461,287,677,940"
GOOG,Alphabet Inc Class C,Communication Services,"$1,969,649,374,798"
GOOGL,Alphabet Inc Class A,Communication Services,"$1,969,649,374,798"
AMZN,Amazon.Com Inc.,Consumer Discretionary,"$1,680,053,278,155"
TSLA,Tesla Inc,Consumer Discretionary,"$1,176,998,406,544"
FB,Facebook Inc Class A,Communication Services,"$936,340,361,994"
NVDA,Nvidia Corp,Information Technology,"$657,912,920,000"
BRK.B,Berkshire Hathaway Inc.,Financials,"$652,351,657,384"
JPM,JP Morgan Chase & Co,Financials,"$509,390,843,367"
V,Visa Inc Class A,Information Technology,"$460,944,560,000"
JNJ,Johnson & Johnson,Health Care,"$435,931,732,097"
UNH,Unitedhealth Group Inc,Health Care,"$426,236,366,127"
WMT,Walmart Stores Inc,Consumer Staples,"$417,493,893,012"
BAC,Bank of America Corp,Financials,"$391,853,943,452"
HD,Home Depot Inc,Consumer Discretionary,"$387,622,695,454"
PG,Procter & Gamble,Consumer Staples,"$348,617,682,805"
MA,Mastercard Inc Class A,Information Technology,"$320,172,445,496"
DIS,Walt Disney,Communication Services,"$308,602,609,629"
ADBE,Adobe Inc,Information Technology,"$305,086,560,000"
NFLX,Netflix Inc,Communication Services,"$299,413,312,822"
CRM,Salesforce.Com Inc,Information Technology,"$296,588,050,000"
XOM,Exxon Mobil Corp,Energy,"$274,419,548,280"
PYPL,Paypal Holdings Inc,Information Technology,"$269,622,877,139"
NKE,Nike Inc Class B,Consumer Discretionary,"$263,464,571,585"
ORCL,Oracle Corp,Information Technology,"$262,509,220,730"
PFE,Pfizer Inc,Health Care,"$254,823,985,780"
TMO,Thermo Fisher Scientific Inc,Health Care,"$250,293,103,544"
LLY,Eli Lilly,Health Care,"$245,700,756,142"
CSCO,Cisco Systems Inc,Information Technology,"$243,019,671,889"
KO,Coca-Cola,Consumer Staples,"$242,319,475,240"
CMCSA,Comcast A Corp,Communication Services,"$240,010,957,189"
ACN,Accenture Plc Class A,Information Technology,"$237,411,324,189"
ABT,Abbott Laboratories,Health Care,"$226,406,503,641"
MRK,Merck & Co Inc,Health Care,"$225,342,975,438"
